,geo,text,user,location
0,, Isn't it beautiful !! 💚💛❤️#ItsmyDam #GERD 💚💛❤️ ,YDLala,Bossnation
1,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",TeshomeGenet,"Beijing, China"
2,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,TeshomeGenet,"Beijing, China"
3,, #Egypt|s misguided colonial rigidity and bravado is only fomenting public animosity in #Ethiopia. Harmful to Egypt's own long-…,duzi95696104,
4,," Nile: River of Discord between Egypt &amp; Ethiopia - #GERD👉✅ The move has riled a c/section of people in z region, who believed…",140word,London
5,,"We #Ethiopian ppl are focused on very sensitive and important issues, mainly to protect us from #Covid19 devastatio… ",abiyot99,Addis Ababa
6,,"Nile: River of Discord between Egypt &amp; Ethiopia - #GERD👉✅ The move has riled a c/section of people in z region, w… ",iyoba4u,Ethiopia
7,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,amitabhprevi,India
8,," #Ethiopia: #UN Secretary-General António Guterres underscores the importance of the 2015 DoP on the #GERD, which emphasi…",Dochker,Addis Ababa
9,, #Sudan rejects #Ethiopia's partial agreement to fill #GERD without #Egypt ,MusiSoliyana,Monaco
10,,"“To do so, #Egypt can agree to use some of her 160 BCM of water stored in #HAD reservoir while#Ethiopia fills her… ",DrMehari,Addis Ababa 
11,,  Great to see your recommendation about pan African solution to the #GERD got traction. …,DrMehari,Addis Ababa 
12,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,RAbdiCG,"Nairobi, Kenya"
13,,  Great to see your recommendation about pan African solution to the #GERD got traction. …,addisstandard,Addis Ababa
14,," Me smoking the peace pipe, again, for  re #GERD  ",DrMehari,Addis Ababa 
15,, The UN Secretary General  has suggested for the parties to go back to the drawing board i.e 2015 Declara…,DrMehari,Addis Ababa 
16,," #GERDEgypt wants to keep [this] unreasonable share of water and keep the upstream countries to support Egypt’s prosperity, wh…",HaddisMT,GMT+0
17,, The Ambassadors called on the need to solve African problems through Africans highlighting that countries in Africa or the…,mukmohware2121,"Ethiopia, Addis Ababa"
18,," Briefings covered national, regional &amp; continental level values that can be gained in building #GERD &amp; stressed #Ethiopia’…",mukmohware2121,"Ethiopia, Addis Ababa"
19,," Minister of Water, Irrigation &amp; Electricity &amp; SM   briefed African ambassadors resi…",mukmohware2121,"Ethiopia, Addis Ababa"
20,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,TesfaGet,"Debremarkos, Gojjam, Ethiopia "
21,,#GERDEgypt wants to keep [this] unreasonable share of water and keep the upstream countries to support Egypt’s pro… ,iyoba4u,Ethiopia
22,, Read this:#gerd #reflux #downwithacid ,BarrettsWessex,"Southampton, UK"
23,, 🇪🇹#Ethiopia is behind in providing power to its population. The GERD will contribute to resolving the energy shortage that i…,abrahamabr2,Addis Abeba  #Ethiopia
24,, Read this:#gerd #reflux #downwithacid ,BarrettsWessex,"Southampton, UK"
25,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,Samsona81293566,
26,,UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan… ,ethioingermany,"Berlin, Germany 🇩🇪"
27,, The Ambassadors called on the need to solve African problems through Africans highlighting that countries in Africa or the…,wmshewit,Africa
28,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,tof1426,
29,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,EthioEmbassyUK,"London, England"
30,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,EthioEmbassyUK,"London, England"
31,, UNSG António Guterres issued a statement on the Grand Ethiopian Renaissance Dam (#GERD) calling on #Ethiopia #Sudan &amp; #Egy…,mandeShife,Addis Ababa/Ethiopia
32,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,HaddisMT,GMT+0
33,, #Ethiopia has been consistent in upholding the principle of equitable &amp; reasonable utilization as well as the principl…,hiale1,
34,,#GERD: Ending Child Undernourishment and Hunger ፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲//The region needs to end hunger and… ,iyoba4u,Ethiopia
35,, Ethiopia vs. Egypt: Justice Delayed and Denied for 120 Years - #GERD~~~~~~~~~~~~~~//Justice has been denied for #Ethiopian…,140word,London
36,, #GERD: Reducing Indoor Air Pollution 🏭🏭🏭፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬፲፬✅ Clean energy can also help avoid greenhouse gas…,140word,London
